,notebook,cell_id,lineno,end_lineno,col_offset,end_col_offset,type,type_details,output_type,effect_type,code
0,hmwk01.ipynb,19,1,1,12,72,Call1,dropna,internal,enforcing,"dfTiDirt.dropna(subset=[""Survived"", ""Pclass"", ""Age"", ""Sex""])"
1,hmwk01.ipynb,19,1,1,12,79,Call1,copy,internal,checking,"dfTiDirt.dropna(subset=[""Survived"", ""Pclass"", ""Age"", ""Sex""]).copy()"
2,hmwk01.ipynb,21,1,1,18,111,Call1,count,internal,checking,"dfTitanic.loc[(dfTiDirt[""Survived""] == 1) & (dfTitanic[""Pclass""] == 1), [""Survived""]].count()"
3,hmwk01.ipynb,21,1,1,114,175,Call1,count,internal,checking,"dfTitanic.loc[dfTitanic[""Pclass""] == 1, [""Survived""]].count()"
4,hmwk01.ipynb,21,2,2,19,112,Call1,count,internal,checking,"dfTitanic.loc[(dfTiDirt[""Survived""] == 1) & (dfTitanic[""Pclass""] == 2), [""Survived""]].count()"
5,hmwk01.ipynb,21,2,2,115,176,Call1,count,internal,checking,"dfTitanic.loc[dfTitanic[""Pclass""] == 2, [""Survived""]].count()"
6,hmwk01.ipynb,21,3,3,18,111,Call1,count,internal,checking,"dfTitanic.loc[(dfTiDirt[""Survived""] == 1) & (dfTitanic[""Pclass""] == 3), [""Survived""]].count()"
7,hmwk01.ipynb,21,3,3,114,175,Call1,count,internal,checking,"dfTitanic.loc[dfTitanic[""Pclass""] == 3, [""Survived""]].count()"
8,hmwk01.ipynb,24,1,1,19,144,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
9,hmwk01.ipynb,24,1,1,147,241,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
10,hmwk01.ipynb,24,2,2,19,146,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
11,hmwk01.ipynb,24,2,2,149,245,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
12,hmwk01.ipynb,24,3,3,20,145,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
13,hmwk01.ipynb,24,3,3,148,242,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
14,hmwk01.ipynb,24,4,4,20,147,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
15,hmwk01.ipynb,24,4,4,150,246,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
16,hmwk01.ipynb,24,5,5,19,144,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
17,hmwk01.ipynb,24,5,5,147,241,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
18,hmwk01.ipynb,24,6,6,19,146,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
19,hmwk01.ipynb,24,6,6,149,245,Call1,count,internal,checking,"dfTitanic.loc[(dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
20,hmwk01.ipynb,27,3,3,6,33,Call1,describe,revealing,checking,"dfTitanic[""Age""].describe()"
21,hmwk01.ipynb,30,1,1,0,93,Assign1,,internal,checking,"dfTiFeSurvived = dfTitanic.loc[(dfTitanic[""Sex""] == ""female"") & (dfTitanic[""Survived""] == 1)]"
22,hmwk01.ipynb,30,2,2,0,89,Assign1,,internal,checking,"dfTiFeDied = dfTitanic.loc[(dfTitanic[""Sex""] == ""female"") & (dfTitanic[""Survived""] == 0)]"
23,hmwk01.ipynb,30,3,3,128,156,Call1,mean,internal,checking,"dfTiFeSurvived[""Age""].mean()"
24,hmwk01.ipynb,30,3,3,190,214,Call1,mean,internal,checking,"dfTiFeDied[""Age""].mean()"
25,hmwk01.ipynb,37,1,1,0,206,Assign1,,internal,checking,"dfBabies = dfBabyDirt[(dfBabyDirt[""bwt""] != 999) & (dfBabyDirt[""gestation""] != 999) & (dfBabyDirt[""parity""] != 9) & (dfBabyDirt[""height""] != 99) & (dfBabyDirt[""weight""] != 999) & (dfBabyDirt[""smoke""] != 9)]"
26,hmwk01.ipynb,39,3,3,0,34,Subscript1,,internal,enforcing,"dfBabies.loc[dfBabies[""smoke""]==0]"
27,hmwk01.ipynb,39,10,10,0,34,Subscript1,,internal,enforcing,"dfBabies.loc[dfBabies[""smoke""]==1]"
28,hmwk01.ipynb,43,1,1,12,46,Subscript1,,internal,enforcing,"dfBabies.loc[dfBabies[""smoke""]==1]"
29,hmwk01.ipynb,43,1,1,12,63,Call1,mean,internal,checking,"dfBabies.loc[dfBabies[""smoke""]==1][""weight""].mean()"
30,hmwk01.ipynb,43,2,2,14,48,Subscript1,,internal,enforcing,"dfBabies.loc[dfBabies[""smoke""]==1]"
31,hmwk01.ipynb,43,3,3,13,64,Call1,mean,internal,checking,"dfBabies.loc[dfBabies[""smoke""]==0][""weight""].mean()"
32,hmwk01.ipynb,43,3,3,13,47,Subscript1,,internal,enforcing,"dfBabies.loc[dfBabies[""smoke""]==0]"
33,hmwk01.ipynb,43,4,4,15,49,Subscript1,,internal,enforcing,"dfBabies.loc[dfBabies[""smoke""]==0]"
