,category,source
0,NO_PRINT,dfTiDirt = pd.read_csv('titanic_data.csv')
1,NO_PRINT,"dfTitanic = dfTiDirt.dropna(subset=[""Survived"", ""Pclass"", ""Age"", ""Sex""]).copy()"
2,PRINT,"print(""First Class Fraction: {0:.4f}\nSecond Class Fraction: {1:.4f}\nThird Class Fraction: {2:.4f}"".format(firstClassRate[""Survived""], secondClassRate[""Survived""], thirdClassRate[""Survived""]))"
3,PRINT,"print(""First Class Male Fraction: {0:.4f} \t First Class Female Fraction {1:.4f}\nSecond Class Male Fraction: {2:.4f} \t Second Class Female Fraction {3:.4f}\nThird Class Male Fraction: {4:.4f} \t Third Class Female Fraction {5:.4f}"".format(firstClassMRate[""Survived""], firstClassFRate[""Survived""], secondClassMRate[""Survived""], secondClassFRate[""Survived""], thirdClassMRate[""Survived""], thirdClassFRate[""Survived""]))"
4,REDUCTION,"print(dfTitanic[""Age""].describe())"
5,PRINT,"print(""Survived Female Mean Age: {0:2.2f}  Median Age: {1:2.2f}\nDied Female Mean Age: {2:2.2f} \t Median Age: {3:2.2f}"".format(dfTiFeSurvived[""Age""].mean(), dfTiFeSurvived[""Age""].median(), dfTiFeDied[""Age""].mean(), dfTiFeDied[""Age""].median()))"
6,NO_PRINT,"dfBabyDirt = pd.read_csv('http://www.stat.berkeley.edu/~statlabs/data/babies.data', delim_whitespace=True)"
7,NO_PRINT,"dfBabies = dfBabyDirt[(dfBabyDirt[""bwt""] != 999) & (dfBabyDirt[""gestation""] != 999) & (dfBabyDirt[""parity""] != 9) & (dfBabyDirt[""height""] != 99) & (dfBabyDirt[""weight""] != 999) & (dfBabyDirt[""smoke""] != 9)]"
8,PRINT,"print(""Mean Smoker: {0:2.2f} \t Median Smoker: {1:2.2f}\nMean Non-Smoker: {2:2.2f}  Median Non-Smoker: {3:2.2f}"".format(meanSmoke, medianSmoke, meanNSmoke, medianNSmoke))"
9,REDUCTION,display(data.describe())
10,PRINT,display(samples - data.mean().round())
11,PRINT,display(samples - data.median().round())
12,PRINT,"samples.plot(kind='bar', figsize=(10, 6))"
13,IMPLICIT SAMPLE,samples_percentage
14,PRINT,print(score)
15,STOP_PRINT,"pd.scatter_matrix(data, alpha = 0.3, figsize = (14,8), diagonal = 'kde');"
16,STOP_PRINT,"pd.scatter_matrix(log_data, alpha = 0.3, figsize = (14,8), diagonal = 'kde');"
17,PRINT,display(log_samples)
