,notebook,link,cell_id,lineno,end_lineno,col_offset,end_col_offset,type,type_details,effect_type,code
0,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",19,1,1,12,79,Call1,copy,uncategorized,"dfTiDirt.dropna(subset=[""Survived"", ""Pclass"", ""Age"", ""Sex""]).copy()"
1,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",19,1,1,12,72,Call1,dropna,enforcing,"dfTiDirt.dropna(subset=[""Survived"", ""Pclass"", ""Age"", ""Sex""])"
2,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",21,1,1,18,111,Call1,count,revealing,"dfTitanic.loc[(dfTiDirt[""Survived""] == 1) & (dfTitanic[""Pclass""] == 1), [""Survived""]].count()"
3,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",21,1,1,114,175,Call1,count,revealing,"dfTitanic.loc[dfTitanic[""Pclass""] == 1, [""Survived""]].count()"
4,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",21,2,2,19,112,Call1,count,revealing,"dfTitanic.loc[(dfTiDirt[""Survived""] == 1) & (dfTitanic[""Pclass""] == 2), [""Survived""]].count()"
5,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",21,2,2,115,176,Call1,count,revealing,"dfTitanic.loc[dfTitanic[""Pclass""] == 2, [""Survived""]].count()"
6,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",21,3,3,18,111,Call1,count,revealing,"dfTitanic.loc[(dfTiDirt[""Survived""] == 1) & (dfTitanic[""Pclass""] == 3), [""Survived""]].count()"
7,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",21,3,3,114,175,Call1,count,revealing,"dfTitanic.loc[dfTitanic[""Pclass""] == 3, [""Survived""]].count()"
8,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,1,1,19,144,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
9,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,1,1,147,241,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
10,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,2,2,19,146,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
11,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,2,2,149,245,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Pclass""] == 1) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
12,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,3,3,20,145,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
13,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,3,3,148,242,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
14,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,4,4,20,147,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
15,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,4,4,150,246,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Pclass""] == 2) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
16,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,5,5,19,144,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
17,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,5,5,147,241,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""male""), [""Survived""]].count()"
18,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,6,6,19,146,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Survived""] == 1) & (dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
19,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",24,6,6,149,245,Call1,count,revealing,"dfTitanic.loc[(dfTitanic[""Pclass""] == 3) & (dfTitanic[""Sex""] == ""female""), [""Survived""]].count()"
20,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",27,3,3,6,33,Call1,describe,revealing,"dfTitanic[""Age""].describe()"
21,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",30,1,1,0,93,Assign1,,reduction,"dfTiFeSurvived = dfTitanic.loc[(dfTitanic[""Sex""] == ""female"") & (dfTitanic[""Survived""] == 1)]"
22,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",30,2,2,0,89,Assign1,,reduction,"dfTiFeDied = dfTitanic.loc[(dfTitanic[""Sex""] == ""female"") & (dfTitanic[""Survived""] == 0)]"
23,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",30,3,3,128,156,Call1,mean,revealing,"dfTiFeSurvived[""Age""].mean()"
24,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",30,3,3,158,188,Call1,median,uncategorized,"dfTiFeSurvived[""Age""].median()"
25,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",30,3,3,190,214,Call1,mean,revealing,"dfTiFeDied[""Age""].mean()"
26,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",30,3,3,216,242,Call1,median,uncategorized,"dfTiFeDied[""Age""].median()"
27,hmwk01.ipynb,"https://github.com/scuthbert/DataScience/blob/master/hmwk/hmwk01/hmwk01.ipynb
",37,1,1,0,206,Assign1,,reduction,"dfBabies = dfBabyDirt[(dfBabyDirt[""bwt""] != 999) & (dfBabyDirt[""gestation""] != 999) & (dfBabyDirt[""parity""] != 9) & (dfBabyDirt[""height""] != 99) & (dfBabyDirt[""weight""] != 999) & (dfBabyDirt[""smoke""] != 9)]"
